frameKey,frameX,frameY,frameW,frameH
banana,784,1527,128,128
bomb,720,104,55,64
bomber-shadow,1952,1915,91,128
canon1,784,1395,128,128
crown,1034,1148,64,54
debris,1102,1240,38,30
emp-fog,4,1399,256,256
emp-thunder,4,1659,384,384
flashbang,916,1074,64,64
grenade,784,1263,128,128
grenade,784,1131,128,128
gridpixel,0,0,1,1
laser-beam,524,172,256,85
laser-canon,1048,1274,94,128
marker-crown,984,1101,32,37
missile,264,15,64,20
missile,784,383,64,20
player1,392,1659,256,124
player1-notint,652,1659,256,124
enemy,264,134,256,113
enemy,524,1423,256,113
enemy,524,1540,256,115
enemy,912,1670,256,113
enemy,1172,1670,256,113
enemy,524,1306,256,113
enemy,392,1787,256,256
enemy,652,1787,256,256
enemy,264,1097,256,140
enemy,264,809,256,140
enemy,264,953,256,140
enemy,264,665,256,140
enemy,264,386,256,131
enemy,264,251,256,131
enemy,784,999,128,128
enemy,784,867,128,128
enemy,264,1241,256,154
enemy,264,521,256,140
enemy,4,4,256,91
enemy,524,831,256,91
enemy,264,39,256,91
enemy,524,736,256,91
enemy,1432,1692,256,91
enemy,524,261,255,91
enemy,524,1211,256,91
enemy,1692,1692,256,91
enemy,524,641,256,91
enemy,524,1116,256,91
enemy,524,546,256,91
enemy,524,1021,256,91
enemy,524,451,256,91
enemy,524,926,256,91
enemy,524,356,256,91
enemy,4,1139,256,256
enemy,4,879,256,256
portal,784,735,128,128
portal,784,603,128,128
remote-bomb,524,40,192,128
shoot,784,471,128,128
smoke,1312,1410,64,64
smoke,1692,1787,256,256
tank,916,1142,114,128
target,264,1399,256,256
tower,916,1406,128,128
tower,1048,1538,128,128
tower,916,1274,128,128
tower,1048,1406,128,128
bullet,1034,1206,64,64
